job id,job type,job policy,client name,schedule name,status code,start time,time elapsed,end time
805000,Backup,xhxb-app-webdb-windows,xhxb-app-webdb-04,Weekly,0,18042026 18:51:43,6:59:40,19042026 01:51:23
805001,Backup,xhxb-db-web-windows,xhxb-db-web-03,Weekly,0,18042026 23:04:28,3:42:52,19042026 02:47:20
805002,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-04,Weekly,0,18042026 03:28:21,4:13:06,18042026 07:41:27
805003,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-04,Weekly,0,18042026 22:57:21,7:06:33,19042026 06:03:54
805004,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-03,Weekly,6,18042026 00:52:24,8:40:12,18042026 09:32:36
805005,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-04,Weekly,0,18042026 10:12:28,8:20:32,18042026 18:33:00
805006,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-02,Weekly,0,18042026 13:56:43,6:21:03,18042026 20:17:46
805007,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-01,Weekly,2,18042026 04:27:45,9:03:55,18042026 13:31:40
805008,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-01,Weekly,0,18042026 18:25:50,7:45:22,19042026 02:11:12
805009,Backup,xhxb-app-web-windows,xhxb-app-web-02,Weekly,2,18042026 03:56:56,11:07:22,18042026 15:04:18
805010,Backup,xhxb-app-webdb-windows,xhxb-app-webdb-01,Weekly,0,18042026 14:25:19,10:28:58,19042026 00:54:17
805011,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-04,Weekly,0,18042026 09:54:58,8:12:19,18042026 18:07:17
805012,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-01,Weekly,0,18042026 01:42:16,4:28:47,18042026 06:11:03
805013,Backup,xhxb-app-web-windows,xhxb-app-web-03,Weekly,0,18042026 12:09:18,6:24:17,18042026 18:33:35
805014,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-01,Weekly,1,18042026 21:31:59,4:52:19,19042026 02:24:18
805015,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-03,Weekly,6,18042026 18:05:20,5:26:56,18042026 23:32:16
